blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,53232,4071,68,13.6,649,133,1,2,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45622,3894,64,12.8,657,146,0,1,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,64,7,145,111,58,245,897,81,497
0,50457,1291,63,12.6,594,121,0,4,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51820,1857,65,13.0,627,158,1,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,59,99,145,526,114,421,69,81,497
0,50798,1732,64,12.8,563,137,1,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55842,2142,68,13.6,604,136,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,64,517,360,526,78,234,4,145,12
1,52500,1770,68,13.6,633,142,0,2,2,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47191,1861,61,12.2,647,109,1,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,64,163,498,111,114,254,518,145,201
0,72930,2071,83,16.6,865,220,1,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75236,2144,84,16.8,761,191,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,64,69,360,526,24,517,126,895,497
1,61381,1427,72,14.4,598,202,0,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47508,2749,64,12.8,613,102,1,3,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,68,131,360,526,79,101,78,145,497
1,72640,4147,85,17.0,784,213,1,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64604,2459,77,15.4,823,174,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,104,134,81,497,89,64,777,115,150
1,71276,2920,81,16.2,816,212,1,4,0,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55787,1916,73,14.6,764,187,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,104,4,429,412,897,121,84,18,12
1,63784,2934,76,15.2,736,150,0,1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60081,3834,77,15.4,774,207,1,4,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,61,145,12,897,104,134,429,53
0,42190,2946,63,12.6,670,139,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55498,2684,69,13.8,691,171,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,254,245,145,53,103,24,134,51,235
